City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Yarim,YE,14.298,44.3779,64.36,37,100,8.84,overcast clouds
270,Norman Wells,CA,65.282,-126.8329,53.64,54,75,2.3,broken clouds
271,Conceicao Do Araguaia,BR,-8.2578,-49.2647,89.73,55,0,9.22,clear sky
272,Khromtau,KZ,50.2503,58.4347,61.2,57,34,7.23,scattered clouds
273,Esmeraldas,BR,-19.7625,-44.3139,90.46,20,43,2.86,scattered clouds
274,Belmonte,BR,-15.8631,-38.8828,77.5,81,0,8.79,clear sky
275,Pisco,PE,-13.7,-76.2167,66.25,68,0,19.57,clear sky
276,Gannan,CN,47.9147,123.5031,55.6,98,100,4.5,overcast clouds
277,Cabedelo,BR,-6.9811,-34.8339,77.67,80,13,14.09,few clouds
278,Turukhansk,RU,65.8167,87.9833,39.25,92,100,5.03,overcast clouds
279,Pundaguitan,PH,6.3711,126.1689,80.73,78,100,4.18,overcast clouds
280,Yorosso,ML,12.3536,-4.7761,75.36,83,100,6.4,light rain
281,Dukat,RU,62.55,155.55,43.47,66,100,3.67,overcast clouds
282,Kolda,SN,12.8833,-14.95,86.31,84,40,6.91,scattered clouds
283,Kortkeros,RU,61.8106,51.5806,41.0,95,100,6.53,overcast clouds
284,Berlevag,NO,70.8578,29.0864,41.2,75,81,4.9,broken clouds
285,Yulara,AU,-25.2406,130.9889,64.24,27,68,5.75,broken clouds
286,Ostrovnoy,RU,68.0531,39.5131,42.24,82,100,19.82,overcast clouds
287,Akyab,MM,20.15,92.9,79.92,86,100,4.99,overcast clouds
288,Bilibino,RU,68.0546,166.4372,31.19,97,100,6.82,snow
289,Arman,RU,59.7,150.1667,48.81,80,10,5.1,clear sky
290,Stornoway,GB,58.2093,-6.3865,54.93,94,40,10.36,scattered clouds
291,Padang,ID,-0.9492,100.3543,75.25,85,70,3.78,broken clouds
292,Lucea,JM,18.451,-78.1736,85.86,72,100,1.9,overcast clouds
293,Tabuk,PH,17.4189,121.4443,73.92,94,26,0.98,scattered clouds
294,Chaozhou,CN,23.6651,116.6379,76.86,71,3,5.17,light rain
295,Brae,GB,60.3964,-1.353,55.31,90,100,6.89,overcast clouds
296,Tambo,PE,-14.8,-73.9167,48.29,39,84,8.7,broken clouds
297,Guerrero Negro,MX,27.9769,-114.0611,78.69,57,1,20.2,clear sky
298,Bermeo,ES,43.4209,-2.7215,69.13,90,55,10.67,broken clouds
299,Ossora,RU,59.2353,163.0719,47.3,54,40,4.29,scattered clouds
300,Mozarlandia,BR,-14.7447,-50.5706,98.24,12,5,5.53,clear sky
301,Olafsvik,IS,64.8945,-23.7142,50.0,81,96,16.87,overcast clouds
302,Mahajanga,MG,-15.7167,46.3167,73.42,83,0,5.75,clear sky
303,Poronaysk,RU,49.2167,143.1167,47.41,75,0,2.26,clear sky
304,Kalemie,CD,-5.9475,29.1947,78.51,51,80,6.13,broken clouds
305,Lundazi,ZM,-12.2929,33.1782,68.74,45,10,7.85,clear sky
306,Manjacaze,MZ,-24.7117,33.8828,70.43,91,1,9.78,clear sky
307,Batticaloa,LK,7.7102,81.6924,80.26,75,100,5.77,overcast clouds
308,Yar-Sale,RU,66.8333,70.8333,37.98,92,10,7.76,clear sky
309,Coihaique,CL,-45.5752,-72.0662,53.55,54,75,6.91,broken clouds
310,Zafra,ES,38.4167,-6.4167,65.32,65,81,4.05,broken clouds
311,Port Lincoln,AU,-34.7333,135.8667,55.69,81,0,16.6,clear sky
312,Tateyama,JP,34.9833,139.8667,69.82,84,3,15.95,clear sky
313,Chuy,UY,-33.6971,-53.4616,55.35,71,0,2.59,clear sky
314,Saint-Pierre,RE,-21.3393,55.4781,70.29,66,90,3.44,overcast clouds
315,Grand-Lahou,CI,5.1367,-5.0242,74.48,93,100,7.85,light rain
316,Skibbereen,IE,51.55,-9.2667,57.0,77,79,6.44,broken clouds
317,Mount Isa,AU,-20.7333,139.5,58.77,36,4,6.91,clear sky
318,Sokoto,NG,13.0609,5.239,82.63,66,11,6.15,few clouds
319,Airai,TL,-8.9266,125.4092,58.95,76,20,3.15,few clouds
320,Beian,NO,63.6559,9.5683,53.01,100,40,5.75,scattered clouds
321,Udachnyy,RU,66.4167,112.4,35.47,83,16,7.67,few clouds
322,Sibenik,HR,43.7272,15.9058,71.38,51,100,1.99,overcast clouds
323,Takhtamygda,RU,54.1,123.5667,50.92,99,100,6.04,moderate rain
324,De-Kastri,RU,51.4667,140.7833,52.25,71,10,3.74,clear sky
325,Mehamn,NO,71.0357,27.8492,39.34,75,32,4.25,scattered clouds
326,Tongliao,CN,43.6125,122.2653,60.3,94,100,7.85,light rain
327,Cidreira,BR,-30.1811,-50.2056,57.76,59,24,6.6,few clouds
328,Broome,US,42.2506,-75.833,67.69,79,90,1.01,heavy intensity rain
329,Nobeoka,JP,32.5833,131.6667,74.46,93,98,3.24,overcast clouds
330,Nome,US,64.5011,-165.4064,48.27,87,90,0.0,light rain
331,Asfi,MA,32.2994,-9.2372,71.26,84,0,8.14,clear sky
332,Kampene,CD,-3.6,26.6667,68.23,96,100,2.26,overcast clouds
333,Maarianhamina,AX,60.0973,19.9348,39.06,93,75,5.75,broken clouds
334,Plettenberg Bay,ZA,-34.0527,23.3716,51.94,79,0,8.1,clear sky
335,Te Anau,NZ,-45.4167,167.7167,37.49,92,81,0.78,broken clouds
336,Leningradskiy,RU,69.3833,178.4167,28.15,94,99,1.16,overcast clouds
337,Tommot,RU,58.9564,126.2925,48.29,98,100,2.24,light rain
338,Nikolsk,RU,53.7189,46.0712,47.53,76,100,9.55,overcast clouds
339,Ilulissat,GL,69.2167,-51.1,33.82,69,40,6.91,scattered clouds
340,Yamada,JP,39.4667,141.95,61.12,84,100,6.55,overcast clouds
341,Klaksvik,FO,62.2266,-6.589,50.92,78,100,3.94,overcast clouds
342,Coreau,BR,-3.5333,-40.6567,86.38,50,82,8.25,broken clouds
343,Deputatskiy,RU,69.3,139.9,35.8,86,100,3.98,overcast clouds
344,Diban,SY,35.0365,40.5167,82.33,31,0,6.89,clear sky
345,Urengoy,RU,65.9667,78.3667,37.56,91,11,2.77,few clouds
