City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Alberton,CA,9/8/2021 2:20,46.8168,-64.0654,62.51,82,0,12.41
244,San Patricio,US,9/8/2021 2:20,28.017,-97.5169,85.84,66,32,9.69
245,Bathsheba,BB,9/8/2021 2:20,13.2167,-59.5167,83.01,78,40,10.36
246,Mount Gambier,AU,9/8/2021 2:20,-37.8333,140.7667,62.02,53,36,10.63
247,Podyuga,RU,9/8/2021 2:20,61.095,40.8647,45.68,98,100,7.18
248,La Ronge,CA,9/8/2021 2:20,55.1001,-105.2842,61.05,67,20,6.91
249,Miracema Do Tocantins,BR,9/8/2021 2:20,-9.5618,-48.3967,82.81,43,3,2.57
250,Sobreira,PT,9/8/2021 2:20,41.5237,-7.8023,63.59,98,60,3.24
251,Valkla,EE,9/8/2021 2:20,59.4744,25.3186,56.14,89,97,12.62
252,Karasjok,NO,9/8/2021 2:20,69.4719,25.5112,42.91,97,100,1.19
253,Xichang,CN,9/8/2021 2:20,27.8964,102.2634,66.42,71,71,3.02
254,Mairi,BR,9/8/2021 2:20,-11.7114,-40.1489,66.13,86,5,6.6
255,Khandbari,NP,9/8/2021 2:20,27.3747,87.2039,74.86,82,90,2.51
256,Ghanzi,BW,9/8/2021 2:20,-21.5667,21.7833,55.65,9,10,8.93
257,Tolaga Bay,NZ,9/8/2021 2:20,-38.3667,178.3,52.86,85,84,8.23
258,Batagay,RU,9/8/2021 2:20,67.6333,134.6333,40.5,49,9,6.64
259,Hofn,IS,9/8/2021 2:16,64.2539,-15.2082,47.8,82,100,7.87
260,Jilikul,TJ,9/8/2021 2:20,37.4917,68.5311,70.92,20,0,3.44
261,Alofi,NU,9/8/2021 2:20,-19.0595,-169.9187,82.29,78,75,9.22
262,Mikhaylovka,RU,9/8/2021 2:20,50.06,43.2379,46.83,57,1,5.46
263,Kaitangata,NZ,9/8/2021 2:20,-46.2817,169.8464,44.74,64,56,17.45
264,Talcahuano,CL,9/8/2021 2:20,-36.7167,-73.1167,46.08,100,0,3.44
265,Paracale,PH,9/8/2021 2:20,14.2804,122.7881,80.51,85,100,8.3
266,Khandwa,IN,9/8/2021 2:20,21.8333,76.3333,77.92,88,100,3.47
267,Comodoro Rivadavia,AR,9/8/2021 2:20,-45.8667,-67.5,51.66,54,0,9.22
268,Berlevag,NO,9/8/2021 2:20,70.8578,29.0864,31.8,77,36,3.6
269,Lidkoping,SE,9/8/2021 2:20,58.5052,13.1577,61.92,91,93,13.58
270,Yenagoa,NG,9/8/2021 2:20,4.9247,6.2642,74.53,95,41,3.67
271,Maues,BR,9/8/2021 2:20,-3.3836,-57.7186,78.96,63,98,1.01
272,Bilma,NE,9/8/2021 2:20,18.6853,12.9164,87.19,41,1,8.84
273,Katsuura,JP,9/8/2021 2:20,35.1333,140.3,75.24,57,96,7.34
274,Otavi,NA,9/8/2021 2:20,-19.65,17.3333,64.58,23,0,10.29
275,Guerrero Negro,MX,9/8/2021 2:20,27.9769,-114.0611,72.28,85,95,19.42
276,Radebeul,DE,9/8/2021 2:20,51.1065,13.6605,55.11,95,0,1.14
277,Yuyao,CN,9/8/2021 2:20,30.05,121.1494,78.57,89,100,3.53
278,Bridlington,GB,9/8/2021 2:20,54.0831,-0.1919,68,80,14,6.69
279,Poya,NC,9/8/2021 2:20,-21.35,165.15,74.66,45,13,16.2
280,Mawlaik,MM,9/8/2021 2:17,23.6333,94.4167,83.62,72,42,0.69
281,Zhangye,CN,9/8/2021 2:20,38.9342,100.4517,74.07,17,0,0.6
282,Shingu,JP,9/8/2021 2:20,33.7333,135.9833,76.91,80,100,5.93
283,Humaita,BR,9/8/2021 2:20,-7.5061,-63.0208,84.25,46,89,1.83
284,Cervo,ES,9/8/2021 2:20,43.6702,-7.4101,66.22,83,100,6.06
285,Phibun Mangsahan,TH,9/8/2021 2:20,15.2447,105.2291,80.37,93,100,5.35
286,Pangody,RU,9/8/2021 2:20,65.85,74.4859,42.08,66,9,4.97
287,Karpathos,GR,9/8/2021 2:20,35.507,27.2132,73.24,74,0,8.57
288,Gazanjyk,TM,9/8/2021 2:20,39.2446,55.5154,70.3,71,2,4.34
289,Ostrovnoy,RU,9/8/2021 2:20,68.0531,39.5131,34.54,89,9,7.92
290,Shelburne,CA,9/8/2021 2:20,44.0787,-80.2041,59.45,94,100,12.44
291,Eureka,US,9/8/2021 2:20,40.8021,-124.1637,77.67,84,100,1.01
292,Ucluelet,CA,9/8/2021 2:19,48.9329,-125.5528,82.09,83,88,9.28
293,New Richmond,US,9/8/2021 2:20,45.123,-92.5366,71.04,42,90,13.8
294,Yerofey Pavlovich,RU,9/8/2021 2:20,53.9667,121.9667,57.56,59,1,3.91
295,Arraial Do Cabo,BR,9/8/2021 2:20,-22.9661,-42.0278,70.05,79,94,21
296,Nantucket,US,9/8/2021 2:19,41.2835,-70.0995,71.1,84,1,8.05
297,Pangai,TO,9/8/2021 2:20,-19.8,-174.35,80.71,78,20,9.22
298,College,US,9/8/2021 2:20,64.8569,-147.8028,62.58,54,75,4.61
299,Hailar,CN,9/8/2021 2:20,49.2,119.7,44.17,85,100,13.98
300,Jupiter,US,9/8/2021 2:20,26.9342,-80.0942,80.02,89,95,1.01
301,Cotonou,BJ,9/8/2021 2:20,6.3654,2.4183,78.78,89,40,11.5
302,Salalah,OM,9/8/2021 2:20,17.0151,54.0924,80.69,89,75,3.44
303,Vuktyl,RU,9/8/2021 2:20,63.8567,57.3094,38.17,93,97,4.92
304,Faanui,PF,9/8/2021 2:20,-16.4833,-151.75,79.38,73,13,14.56
305,Bambanglipuro,ID,9/8/2021 2:20,-7.95,110.2833,81.63,69,46,14.25
306,Ust-Maya,RU,9/8/2021 2:20,60.4167,134.5333,63.82,41,6,7.18
307,Haines Junction,CA,9/8/2021 2:20,60.7522,-137.5108,64.35,39,98,2.3
