City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
526,Manado,ID,75.97,moderate rain,1.487,124.8455,Aryaduta Hotel
528,Kutum,SD,81.59,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
532,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
534,Sulangan,PH,82.89,overcast clouds,11.1373,123.7228,Maia's Beach Resort
535,Hami,CN,71.2,clear sky,42.8,93.45,Laoyutang Resort
540,Itupiranga,BR,77.32,broken clouds,-5.1347,-49.3267,Hotel Panorama
541,Ixtapa,MX,83.43,broken clouds,20.7,-105.2,Hotel Plaza Providencia
542,Itoman,JP,82.78,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
544,Annonay,FR,66.52,overcast clouds,45.2397,4.6708,Hotel The Originals Annonay Est La Siesta
545,Xixiang,CN,70.41,light rain,35.1628,112.865,Sanmao Hotel Hotel
546,Labuhan,ID,77.74,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
549,Ponta Delgada,PT,70.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
551,Narasaraopet,IN,81.66,overcast clouds,16.25,80.0667,AT International Lodge
557,Labelle,US,87.17,overcast clouds,26.7617,-81.4384,Port LaBelle Inn
558,Nova Soure,BR,78.22,clear sky,-11.2333,-38.4833,Branca Hotel
559,Lagoa,PT,70.43,clear sky,39.05,-27.9833,Casa Das Faias
561,Kashi,CN,69.01,clear sky,39.4547,75.9797,帕米尔青年旅舍
562,Shelburne,CA,69.76,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
564,Tahoua,NE,89.58,clear sky,14.8888,5.2692,Bungalows Guesthouse
566,Hatillo,PR,88.38,moderate rain,18.4863,-66.8254,Hotel Parador El Buen Cafe
568,Connersville,US,77.67,overcast clouds,39.6412,-85.1411,The Lodge at IOI
570,Bari,IT,79.54,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
571,Kudahuvadhoo,MV,81.45,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
572,Saint Anthony,US,79.97,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
574,Labrea,BR,73.2,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
575,Fernandina Beach,US,88.0,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
580,West Wendover,US,83.41,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
582,Havelock,US,85.05,few clouds,34.8791,-76.9013,Sherwood Motel
585,Bardiyah,LY,76.59,clear sky,31.7561,25.0865,بورتو بردية
587,Divo,CI,71.11,overcast clouds,5.8397,-5.36,Hôtel IROKO
588,Teknaf,BD,78.13,overcast clouds,20.8624,92.3058,Forestry Guesthouse
589,Algeciras,ES,71.37,few clouds,36.1333,-5.4505,AC Hotel by Marriott Algeciras
591,Binghamton,US,69.31,heavy intensity rain,42.0987,-75.918,Nuru Binghamton Downtown
595,Moindou,NC,69.75,few clouds,-21.6924,165.677,Gite de la RYAWA
597,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
598,Palmer,US,84.13,overcast clouds,42.1584,-72.3287,Wedgewood Motel
600,Goderich,CA,69.91,overcast clouds,43.7501,-81.7165,Harmony Inn
601,Gaozhou,CN,75.63,overcast clouds,21.9392,110.8461,望江楼旅业
604,Hamada,JP,66.58,scattered clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
607,Lumding,IN,76.28,overcast clouds,25.7535,93.1732,Hotel Nilamber
609,Oranjestad,AW,87.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
610,Sibolga,ID,76.55,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
611,Les Cayes,HT,85.24,few clouds,18.2,-73.75,Villa Orphee
613,Campbellsville,US,75.31,overcast clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
614,Kimbe,PG,74.26,light rain,-5.5502,150.1429,Kimbe Bay Hotel
615,Chiredzi,ZW,78.39,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
616,Sao Joao Del Rei,BR,77.43,overcast clouds,-21.1356,-44.2617,Solara Hotel
619,Washington,US,70.2,overcast clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
621,Sabha,LY,78.84,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
624,Lazaro Cardenas,MX,83.03,overcast clouds,17.9583,-102.2,quinta antigua
625,Jasper,US,87.28,clear sky,37.2001,-94.3502,Guest House Motel
626,Muros,ES,69.24,clear sky,42.7762,-9.0603,Apartment Av. Castelao
627,Hua Hin,TH,76.55,light rain,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
631,Buraydah,SA,84.65,few clouds,26.326,43.975,فندق راحة السلام
632,Enshi,CN,68.56,few clouds,30.3,109.4833,Moevenpick Enshi
633,Eyl,SO,78.21,overcast clouds,7.9803,49.8164,Amiin Hotel
